epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
11.0,3.0,6.941699126628009e-08,-68.83333396911621,2.130493157892488e-06,133,4000.0,1000.0
12.0,3.0,6.508469141408568e-08,-69.13058996200562,5.482713731908007e-07,134,4000.0,1000.0
13.0,3.0,6.508469141408568e-08,-69.30160427093506,4.913231350656133e-07,135,4000.0,1000.0
14.0,3.0,6.508469141408568e-08,-68.83547878265381,4.300774889998138e-06,136,4000.0,1000.0
15.0,3.0,6.508469141408568e-08,-68.57492446899414,1.778369551175274e-06,137,4000.0,1000.0
16.0,3.0,6.142055042346328e-08,-69.21595001220703,6.333935971269966e-07,138,4000.0,1000.0
17.0,3.0,6.072191638395452e-08,-69.341543674469,2.642326535351458e-07,139,4000.0,1000.0
18.0,3.0,6.072191638395452e-08,-69.21248531341553,6.646693691436667e-06,140,4000.0,1000.0
19.0,3.0,5.989650020410409e-08,-67.8783483505249,1.617763155081775e-05,141,4000.0,1000.0
20.0,3.0,5.989650020410409e-08,-67.96934652328491,4.353392341727158e-06,142,4000.0,1000.0
21.0,3.0,5.989650020410409e-08,-69.07037734985352,1.4241724102248554e-06,143,4000.0,1000.0
22.0,3.0,5.989650020410409e-08,-69.30513286590576,5.406392915574543e-07,144,4000.0,1000.0
23.0,3.0,5.989650020410409e-08,-69.14278030395508,1.720936438687204e-06,145,4000.0,1000.0
24.0,3.0,5.989650020410409e-08,-68.64546203613281,5.0171679504273925e-06,146,4000.0,1000.0
0.0,4.0,5.5423570302082226e-05,-48.88490378856659,6.0131213103886694e-05,147,4000.0,1000.0
1.0,4.0,9.804169167182408e-06,-65.41288208961487,9.804169167182408e-06,148,4000.0,1000.0
2.0,4.0,2.466711976012448e-06,-68.40588140487671,2.466711976012448e-06,149,4000.0,1000.0
3.0,4.0,6.591021133317554e-07,-69.1051778793335,6.591021133317554e-07,150,4000.0,1000.0
4.0,4.0,2.0639996023419371e-07,-69.2746229171753,2.0639996023419371e-07,151,4000.0,1000.0
5.0,4.0,1.1645202846466418e-07,-69.31952285766602,1.3599890280602267e-07,152,4000.0,1000.0
6.0,4.0,8.184107969100296e-08,-69.3354172706604,1.5348301474205073e-07,153,4000.0,1000.0
7.0,4.0,7.312469563203194e-08,-69.26908111572266,2.914712013080134e-06,154,4000.0,1000.0
8.0,4.0,6.92544830371844e-08,-68.97712516784668,9.370912721351488e-07,155,4000.0,1000.0
9.0,4.0,6.382641970503755e-08,-69.28380346298218,5.053574341218336e-07,156,4000.0,1000.0
10.0,4.0,6.059723034468334e-08,-69.14344692230225,8.652945325593464e-06,157,4000.0,1000.0
11.0,4.0,6.003111252539384e-08,-68.92790365219116,1.3487125443134573e-06,158,4000.0,1000.0
